BriefDesc,Tag1,Tag2,PlanDone,Date1,Hour1,Eisenhower
Dev. PlaNS,,,Done,2020-04-27,7:00,0
Inicio Relevamiento (6 personas) FN-4,,,Done,2020-04-29,9:00,0
Dev. Eisenhower Matrix in Python,,,Done,2020-04-23,19:00,0
End Dev. PlaNS (Alfa version). Total 6 days.,,,Done,2020-04-29,23:00,0
Relev. Erlan en YPFB,,,Plan,2020-04-30,8:00,0
Topology,,,Plan,,0,3
Quantum Mech. MIT,,,Plan,,0,4
EMS Planos,,,Plan,,0,3
RSMI (Reunión Semanal MEDIATEL - INET),,,Done,2020-04-29,17:00,0
TNG Illustris,,,Plan,,0,1
Kindle,,,Plan,2020-05-01,06:00,0
Kindle,,,Done,2020-04-29,14:00,0
Erlan en YPFB,,,Done,2020-04-30,07:30,0
Dev. PlaNS,,,Done,2020-04-29,07:30,0
EMS S. José,,,Plan,,0,4
Relevamiento (6 personas) FN-4,,,Done,2020-04-30,09:00,0
Dev. PlaNS (list of hours),,,Done,2020-05-01,11:30,0
Teo. FTTH,,,Plan,,0,1
Planilla Asistencia Relevadores,,,Plan,,0,2
Dev. PlaNS (tasks without hours),,,Done,2020-05-01,17:30,0
Taller Config. 3-GIS,,,Plan,2020-05-04,0,0
Se retiran los relevadores,,,Done,2020-04-30,14:00,0
Kindle,,,Plan,2020-05-01,21:00,0
Kindle,,,Plan,2020-05-02,06:00,0
RSMI (Reunión Semanal con Mediatel),,,Plan,2020-05-05,17:00,0
Relevadores: Asistencia. Rev.Map Editor. Solicitar Alim.,,,Plan,2020-05-02,08:30,0
Kindle,,,Plan,,0,0
TNG Illustris,,,Plan,2020-05-02,07:00,0
Dev. PlaNS (Beta version),,,Done,2020-05-01,22:00,0
Teo. FTTH,,,Plan,2020-05-02,09:00,0
Pausa,,,Plan,2020-05-02,12:00,0
Topology,,,Plan,2020-05-02,14:00,0
Teo. FTTH,,,Plan,2020-05-02,15:30,0
Pausa,,,Plan,2020-05-02,18:30,0
Kindle,,,Plan,2020-05-02,20:30,0
